name,country,state,latitude,longitude,population
Râs el Oued,Algeria,Bordj Bou Arréridj,35.9441,5.03107,44947
Salah Bey,Algeria,Sétif,35.85451,5.29053,23339
Saoula,Algeria,Algiers,36.70456,3.02462,16812
Saïda,Algeria,Saida,34.83033,0.15171,142497
Sebdou,Algeria,Tlemcen,34.63703,-1.33143,32570
Seddouk,Algeria,Béjaïa,36.54722,4.68611,19884
Sedrata,Algeria,Souk Ahras,36.12868,7.53376,45300
Sfizef,Algeria,Sidi Bel Abbès,35.23464,-0.24435,27914
Sidi Abdelli,Algeria,Tlemcen,35.06937,-1.13706,23543
Sidi Akkacha,Algeria,Chlef,36.46472,1.30258,26558
Sidi Amar,Algeria,Annaba,36.82019,7.71641,45148
Sidi Amrane,Algeria,El Mghair,33.49885,6.00803,29734
Sidi Aïssa,Algeria,M'Sila,35.88548,3.77236,66856
Sidi Bel Abbes,Algeria,Sidi Bel Abbès,35.18994,-0.63085,210146
Sidi Khaled,Algeria,Ouled Djellal,34.387,4.98785,38987
Sidi Moussa,Algeria,Algiers,36.60637,3.08783,30887
Sidi Mérouane,Algeria,Mila,36.52056,6.26111,25129
Sidi Okba,Algeria,Biskra,34.74512,5.89833,29499
Sidi ech Chahmi,Algeria,Oran,35.65903,-0.52168,35512
Sig,Algeria,Mascara,35.52832,-0.19369,61373
Skikda,Algeria,Skikda,36.87617,6.90921,182903
Sougueur,Algeria,Tiaret,35.18568,1.49612,71036
Souk Ahras,Algeria,Souk Ahras,36.28639,7.95111,153479
Souma,Algeria,Blida,36.51833,2.90528,40745
Sour el Ghozlane,Algeria,Bouira,36.14766,3.69123,43985
Sétif,Algeria,Sétif,36.19112,5.41373,252127
Tadjenanet,Algeria,Mila,36.12129,5.9867,41833
Tadmaït,Algeria,Tizi Ouzou,36.74413,3.90045,20952
Tamalous,Algeria,Skikda,36.83763,6.64018,32579
Tamanghasset,Algeria,Tamanrasset,22.785,5.52278,81752
Tazoult-Lambese,Algeria,Batna,35.48171,6.26074,41636
Taïbet,Algeria,Touggourt,33.08515,6.3891,21000
Tebesbest,Algeria,Touggourt,33.11667,6.08333,41091
Telerghma,Algeria,Mila,36.11653,6.35434,26248
Thenia,Algeria,Boumerdes,36.72544,3.55665,16180
Theniet el Had,Algeria,Tissemsilt,35.87111,2.02806,27628
Tiaret,Algeria,Tiaret,35.37103,1.31699,178915
Tighenif,Algeria,Mascara,35.41722,0.32982,39938
Timimoun,Algeria,Timimoun,29.26417,0.23583,22086
Timizart,Algeria,Tizi Ouzou,36.8,4.26667,41158
Tindouf,Algeria,Tindouf,27.67111,-8.14743,45610
Tipasa,Algeria,Tipaza,36.58972,2.44889,15180
Tirmitine,Algeria,Tizi Ouzou,36.65393,3.98143,26261
Tissemsilt,Algeria,Tissemsilt,35.60722,1.81081,66084
Tizi Gheniff,Algeria,Tizi Ouzou,36.58839,3.77445,27974
Tizi Ouzou,Algeria,Tizi Ouzou,36.71182,4.04591,104312
Tizi Rached,Algeria,Tizi Ouzou,36.67176,4.19176,17872
Tizi-n-Tleta,Algeria,Tizi Ouzou,36.54569,4.05712,22404
Tlemcen,Algeria,Tlemcen,34.87833,-1.315,173531
Tolga,Algeria,Biskra,34.72224,5.37845,50575
